,presentation_code,name,type,per_item_delta,delta,cost
755,0205051L0AAAYAY,Lisinopril 20mg/5ml oral solution,generic,-3.57459285714287,-130.84329,715.72583
756,0205051L0AAAZAZ,Lisinopril 20mg/5ml oral suspension,generic,2.77161051282052,127.52961,1225.51369
760,0205051M0AAAHAH,Perindopril erbumine 8mg/5ml oral solution,generic,-17.8590733333333,-309.06361,510.97278
761,0205051M0AAAHAH,Perindopril erbumine 8mg/5ml oral suspension,generic,-17.8590733333333,-309.06361,510.97278
762,0205051M0AAAHAH,Perindopril erbumine 8mg/5ml oral solution,generic,-17.8590733333333,-309.06361,510.97278
763,0205051M0AAAHAH,Perindopril erbumine 8mg/5ml oral suspension,generic,-17.8590733333333,-309.06361,510.97278
764,0205051M0AAAKAK,Perindopril erbumine 4mg/5ml oral solution,generic,2.46749295555556,-317.14106,974.13013
765,0205051M0AAALAL,Perindopril erbumine 4mg/5ml oral suspension,generic,-0.682618888888882,-310.45287,243.44744
772,0205051R0AAAFAF,Ramipril 2.5mg/5ml oral solution,generic,94.3454333333333,372.11954,550.28602
773,0205051R0AAAGAG,Ramipril 1.25mg/5ml oral suspension,generic,7.61770999999999,7.61770999999999,259.914
774,0205051R0AAAGAG,Ramipril 1.25mg/5ml oral solution,generic,7.61770999999999,7.61770999999999,259.914
775,0205051R0AAAGAG,Ramipril 1.25mg/5ml oral suspension,generic,7.61770999999999,7.61770999999999,259.914
776,0205051R0AAAGAG,Ramipril 1.25mg/5ml oral solution,generic,7.61770999999999,7.61770999999999,259.914
777,0205051R0AAAHAH,Ramipril 10mg/5ml oral suspension,generic,47.0332268333333,1134.72744,3986.37103
778,0205051R0AAAHAH,Ramipril 10mg/5ml oral solution,generic,47.0332268333333,1134.72744,3986.37103
779,0205051R0AAAHAH,Ramipril 10mg/5ml oral suspension,generic,47.0332268333333,1134.72744,3986.37103
780,0205051R0AAAHAH,Ramipril 10mg/5ml oral solution,generic,47.0332268333333,1134.72744,3986.37103
810,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral suspension,generic,-404.024314166667,-1972.78747,1070.07064
811,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral solution,generic,-404.024314166667,-1972.78747,1070.07064
812,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral suspension,generic,-404.024314166667,-1972.78747,1070.07064
813,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral solution,generic,-404.024314166667,-1972.78747,1070.07064
822,0205052I0AAAGAG,Irbesartan 300mg/5ml oral suspension,generic,351.203119,2004.28358,2997.35552
826,0205052N0AAAEAE,Losartan 50mg/5ml oral solution,generic,-211.744611696429,-3988.46562,467.09587
827,0205052N0AAAFAF,Losartan 100mg/5ml oral solution,generic,70.9954816666667,999.07608,2292.41276
828,0205052N0AAAFAF,Losartan 100mg/5ml oral suspension,generic,70.9954816666667,999.07608,2292.41276
829,0205052N0AAAFAF,Losartan 100mg/5ml oral solution,generic,70.9954816666667,999.07608,2292.41276
830,0205052N0AAAFAF,Losartan 100mg/5ml oral suspension,generic,70.9954816666667,999.07608,2292.41276
831,0205052N0AAAJAJ,Losartan 50mg/5ml oral suspension,generic,0.0738654301075172,496.60503,3817.7763
857,0206010F0AAAIAI,Glyceryl trinitrate 600microgram sublingual tablets,generic,0.00592999999999932,0.00592999999999932,13.80575
914,0206020A0AAACAC,Amlodipine 5mg/5ml oral suspension,generic,-22.1186276410256,-2236.22242,4578.65314
915,0206020A0AAACAC,Amlodipine 5mg/5ml oral solution,generic,-22.1186276410256,-2236.22242,4578.65314
916,0206020A0AAACAC,Amlodipine 5mg/5ml oral suspension,generic,-22.1186276410256,-2236.22242,4578.65314
917,0206020A0AAACAC,Amlodipine 5mg/5ml oral solution,generic,-22.1186276410256,-2236.22242,4578.65314
918,0206020A0AAADAD,Amlodipine 10mg/5ml oral solution,generic,78.2260874358974,1627.49988,2150.83766
919,0206020A0AAADAD,Amlodipine 10mg/5ml oral suspension,generic,78.2260874358974,1627.49988,2150.83766
