,bnf_code,name,vpid,form,form_indicator,form_size,form_units,unit_of_measure,numerator,numerator_unit_of_measure,denominator,denominator_unit_of_measure,ingredient_count,squ,bnf_name,adq_value,adq_denominator,dose_multiplier,quantity_denominator,adq_per_quantity
21,0102000ACAAARAR,Atropine 600micrograms/5ml oral solution,12080211000001106,Oral solution,Continuous,,,,0.00011999999999999999,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 600mcg/5ml,0.0012,g,1.0,ml,0.1
22,0102000ACAAASAS,Atropine 300micrograms/5ml oral solution,8281211000001103,Oral solution,Continuous,,,,5.9999999999999995e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 300mcg/5ml,0.0012,g,1.0,ml,0.05
23,0102000ACAAASAS,Atropine 300micrograms/5ml oral suspension,8281311000001106,Oral suspension,Continuous,,,,5.9999999999999995e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 300mcg/5ml,0.0012,g,1.0,ml,0.05
24,0102000ACAAATAT,Atropine 50micrograms/5ml oral solution,12080011000001101,Oral solution,Continuous,,,,1e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 50mcg/5ml,0.0012,g,1.0,ml,0.008333333333333335
25,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral solution,8281011000001108,Oral solution,Continuous,,,,5e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 250mcg/5ml,0.0012,g,1.0,ml,0.04166666666666667
26,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral suspension,8281111000001109,Oral suspension,Continuous,,,,5e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 250mcg/5ml,0.0012,g,1.0,ml,0.04166666666666667
27,0102000ACAABABA,Atropine 500micrograms/5ml oral solution,8281611000001101,Oral solution,Continuous,,,,0.0001,g,1.0,ml,1.0,ml,Atrop Sulf_Oral Soln 500mcg/5ml (DT),0.0012,g,1.0,ml,0.08333333333333334
28,0102000J0AAAAAA,Dicycloverine 10mg/5ml oral solution,317110004,Oral solution,Discrete,5.0,ml,spoonful,0.002,g,1.0,ml,1.0,ml,Dicycloverine HCl_Oral Soln 10mg/5ml,0.03,g,1.0,ml,0.06666666666666667
29,0102000J0AAABAB,Dicycloverine 10mg tablets,317109009,Tablet,Discrete,1.0,tablet,tablet,0.01,g,,nan,1.0,unit,Dicycloverine HCl_Tab 10mg,0.03,g,1.0,unit,0.33333333333333337
30,0102000J0AAACAC,Dicycloverine 20mg tablets,317108001,Tablet,Discrete,1.0,tablet,tablet,0.02,g,,nan,1.0,unit,Dicycloverine HCl_Tab 20mg,0.03,g,1.0,unit,0.6666666666666667
31,0102000J0BBAAAB,Merbentyl 10mg tablets,317109009,Tablet,Discrete,1.0,tablet,tablet,0.01,g,,nan,1.0,unit,Merbentyl_Tab 10mg,0.03,g,1.0,unit,0.33333333333333337
32,0102000J0BBABAA,Merbentyl 10mg/5ml syrup,317110004,Oral solution,Discrete,5.0,ml,spoonful,0.002,g,1.0,ml,1.0,ml,Merbentyl_Syr 10mg/5ml,0.03,g,1.0,ml,0.06666666666666667
33,0102000J0BBAEAC,Merbentyl 20 tablets,317108001,Tablet,Discrete,1.0,tablet,tablet,0.02,g,,nan,1.0,unit,Merbentyl 20_Tab 20mg,0.03,g,1.0,unit,0.6666666666666667
34,0102000K0BBAAAA,Kolanticon gel,3544511000001103,Oral suspension,Discrete,5.0,ml,spoonful,0.004,g,1.0,ml,4.0,ml,Kolanticon_Gel S/F,40.0,ml,1.0,ml,0.025
35,0102000K0BBAAAA,Kolanticon gel,3544511000001103,Oral suspension,Discrete,5.0,ml,spoonful,0.02,g,1.0,ml,4.0,ml,Kolanticon_Gel S/F,40.0,ml,1.0,ml,0.025
36,0102000K0BBAAAA,Kolanticon gel,3544511000001103,Oral suspension,Discrete,5.0,ml,spoonful,0.04,g,1.0,ml,4.0,ml,Kolanticon_Gel S/F,40.0,ml,1.0,ml,0.025
37,0102000K0BBAAAA,Kolanticon gel,3544511000001103,Oral suspension,Discrete,5.0,ml,spoonful,0.0005,g,1.0,ml,4.0,ml,Kolanticon_Gel S/F,40.0,ml,1.0,ml,0.025
38,0102000N0AAADAD,Hyoscine butylbromide 100mg/5ml oral solution,12636111000001104,Oral solution,Continuous,,,,0.02,g,1.0,ml,1.0,ml,Hyoscine Butylbrom_Liq Spec 100mg/5ml,0.08,g,1.0,ml,0.25
39,0102000N0AAAFAF,Hyoscine butylbromide 500micrograms/5ml oral solution,12636511000001108,Oral solution,Continuous,,,,0.0001,g,1.0,ml,1.0,ml,Hyoscine Butylbrom_Liq Spec 500mcg/5ml,0.08,g,1.0,ml,0.00125
40,0102000N0AAAHAH,Hyoscine butylbromide 20mg/5ml oral solution,12636311000001102,Oral solution,Continuous,,,,0.004,g,1.0,ml,1.0,ml,Hyoscine Butylbrom_Liq Spec 20mg/5ml,0.08,g,1.0,ml,0.05
41,0102000N0AAAIAI,Hyoscine butylbromide 5mg/5ml oral solution,12636611000001107,Oral solution,Continuous,,,,0.001,g,1.0,ml,1.0,ml,Hyoscine Butylbrom_Liq Spec 5mg/5ml,0.08,g,1.0,ml,0.0125
42,0102000N0AAANAN,Hyoscine butylbromide 4.9mg/5ml oral solution,16090311000001103,Oral solution,Continuous,,,,0.00098,g,1.0,ml,1.0,ml,Hyoscine Butylbrom_Liq Spec 4.9mg/5ml,0.08,g,1.0,ml,0.012249999999999999
43,0102000N0BBAAAB,Buscopan 10mg tablets,317117001,Tablet,Discrete,1.0,tablet,tablet,0.01,g,,nan,1.0,unit,Buscopan_Tab 10mg,0.08,g,1.0,unit,0.125
44,0102000N0BBABAA,Buscopan 20mg/1ml solution for injection ampoules,317118006,Solution for injection,Discrete,1.0,ml,ampoule,0.02,g,1.0,ml,1.0,unit,Buscopan_Inj 20mg/ml 1ml Amp,0.08,g,1.0,unit,0.25
45,0102000N0BBACAB,Buscopan IBS Relief 10mg tablets,317117001,Tablet,Discrete,1.0,tablet,tablet,0.01,g,,nan,1.0,unit,Buscopan IBS Relief_Tab 10mg,0.08,g,1.0,unit,0.125
46,0102000N0BBADAB,Buscopan Cramps 10mg tablets,317117001,Tablet,Discrete,1.0,tablet,tablet,0.01,g,,nan,1.0,unit,Buscopan Cramps_Tab 10mg,0.08,g,1.0,unit,0.125
47,0102000P0AAAAAA,Mebeverine 50mg/5ml oral suspension sugar free,3655411000001107,Oral suspension,Discrete,5.0,ml,spoonful,0.01,g,1.0,ml,1.0,ml,Mebeverine HCl_Oral Susp 50mg/5ml S/F,0.405,g,1.0,ml,0.024691358024691357
48,0102000P0AAABAB,Mebeverine 135mg tablets,317161009,Tablet,Discrete,1.0,tablet,tablet,0.135,g,,nan,1.0,unit,Mebeverine HCl_Tab 135mg,0.405,g,1.0,unit,0.3333333333333333
49,0102000P0AAADAD,Mebeverine 200mg modified-release capsules,317159000,Modified-release capsule,Discrete,1.0,capsule,capsule,0.2,g,,nan,1.0,unit,Mebeverine HCl_Cap 200mg M/R,0.405,g,1.0,unit,0.49382716049382713
50,0102000P0AAAEAE,Mebeverine 135mg oral powder sachets,27800611000001106,Powder,Discrete,1.0,sachet,sachet,0.135,g,,nan,1.0,unit,Mebeverine HCl_Oral Pdr Sach 135mg,0.405,g,1.0,unit,0.3333333333333333
51,0102000P0BCAAAA,Colofac 50mg/5ml liquid,3655411000001107,Oral suspension,Discrete,5.0,ml,spoonful,0.01,g,1.0,ml,1.0,ml,Colofac_Liq 50mg/5ml S/F,0.405,g,1.0,ml,0.024691358024691357
52,0102000P0BCABAB,Colofac 135mg tablets,317161009,Tablet,Discrete,1.0,tablet,tablet,0.135,g,,nan,1.0,unit,Colofac_Tab 135mg,0.405,g,1.0,unit,0.3333333333333333
53,0102000P0BCACAB,Colofac IBS 135mg tablets,317161009,Tablet,Discrete,1.0,tablet,tablet,0.135,g,,nan,1.0,unit,Colofac IBS_Tab 135mg,0.405,g,1.0,unit,0.3333333333333333
54,0102000P0BCADAC,Colofac 100 tablets,317156007,Tablet,Discrete,1.0,tablet,tablet,0.1,g,,nan,1.0,unit,Colofac 100_Tab 100mg,0.405,g,1.0,unit,0.24691358024691357
55,0102000P0BCAEAD,Colofac MR 200mg capsules,317159000,Modified-release capsule,Discrete,1.0,capsule,capsule,0.2,g,,nan,1.0,unit,Colofac MR_Cap 200mg,0.405,g,1.0,unit,0.49382716049382713
56,0102000P0BHAAAB,Boots IBS Relief 135mg tablets,317161009,Tablet,Discrete,1.0,tablet,tablet,0.135,g,,nan,1.0,unit,Boots_IBS Relief Tab 135mg,0.405,g,1.0,unit,0.3333333333333333
57,0102000T0AAAAAA,Peppermint oil 0.2ml gastro-resistant capsules,14610311000001100,Gastro-resistant capsule,Discrete,1.0,capsule,capsule,0.2,ml,,nan,1.0,unit,Peppermint Oil_Cap E/C 0.2ml,0.6,ml,1.0,unit,0.33333333333333337
58,0102000T0AAABAB,Peppermint oil liquid,4317611000001100,Not applicable,Continuous,,,,1.0,ml,1.0,ml,1.0,ml,Peppermint_Oil Liq,0.6,ml,1.0,ml,1.6666666666666667
59,0102000T0BBAAAF,Colpermin gastro-resistant modified-release capsules,14610211000001108,Modified-release capsule,Discrete,1.0,capsule,capsule,0.2,ml,,nan,1.0,unit,Colpermin_Cap E/C 0.2ml M/R,0.6,ml,1.0,unit,0.33333333333333337
60,0102000T0BCAAAA,Mintec 0.2ml gastro-resistant capsules,14610311000001100,Gastro-resistant capsule,Discrete,1.0,capsule,capsule,0.2,ml,,nan,1.0,unit,Mintec_Cap E/C 0.2ml,0.6,ml,1.0,unit,0.33333333333333337
61,0102000T0BIAAAA,Apercap 0.2ml gastro-resistant capsules,14610311000001100,Gastro-resistant capsule,Discrete,1.0,capsule,capsule,0.2,ml,,nan,1.0,unit,Apercap_Cap E/C 0.2ml,0.6,ml,1.0,unit,0.33333333333333337
62,0102000T0BJAAAA,Colomint 0.2ml gastro-resistant capsules,14610311000001100,Gastro-resistant capsule,Discrete,1.0,capsule,capsule,0.2,ml,,nan,1.0,unit,Colomint_Cap G/R 0.2ml,0.6,ml,1.0,unit,0.33333333333333337
63,0102000X0BCAAAA,Fybogel Mebeverine effervescent granules sachets orange,317160005,Effervescent granules,Discrete,1.0,sachet,sachet,3.5,g,,nan,2.0,unit,Fybogel Mebeverine_Eff Gran Sach S/F,2.0,,1.0,unit,0.5
64,0102000X0BCAAAA,Fybogel Mebeverine effervescent granules sachets orange,317160005,Effervescent granules,Discrete,1.0,sachet,sachet,0.135,g,,nan,2.0,unit,Fybogel Mebeverine_Eff Gran Sach S/F,2.0,,1.0,unit,0.5
65,0102000Y0AAAFAF,Propantheline bromide 15mg tablets,317139004,Tablet,Discrete,1.0,tablet,tablet,0.015,g,,nan,1.0,unit,Propantheline Brom_Tab 15mg,0.045,g,1.0,unit,0.3333333333333333
66,0102000Y0AAAIAI,Propantheline bromide 15mg/5ml oral solution,8672311000001107,Oral solution,Continuous,,,,0.003,g,1.0,ml,1.0,ml,Propantheline Brom_Liq Spec 15mg/5ml,0.045,g,1.0,ml,0.06666666666666667
67,0102000Y0AAAIAI,Propantheline bromide 15mg/5ml oral suspension,8672411000001100,Oral suspension,Continuous,,,,0.003,g,1.0,ml,1.0,ml,Propantheline Brom_Liq Spec 15mg/5ml,0.045,g,1.0,ml,0.06666666666666667
68,0102000Y0AAAUAU,Propantheline bromide 10mg/5ml oral solution,13150311000001105,Oral solution,Continuous,,,,0.002,g,1.0,ml,1.0,ml,Propantheline Brom_Liq Spec 10mg/5ml,0.045,g,1.0,ml,0.044444444444444446
69,0102000Y0AAAWAW,Propantheline bromide 30mg/5ml oral solution,13150511000001104,Oral solution,Continuous,,,,0.006,g,1.0,ml,1.0,ml,Propantheline Brom_Liq Spec 30mg/5ml,0.045,g,1.0,ml,0.13333333333333333
70,0102000Y0AAAZAZ,Propantheline bromide 5mg/5ml oral solution,13150611000001100,Oral solution,Continuous,,,,0.001,g,1.0,ml,1.0,ml,Propantheline Brom_Liq Spec 5mg/5ml,0.045,g,1.0,ml,0.022222222222222223
71,0102000Y0BBAAAF,Pro-Banthine 15mg tablets,317139004,Tablet,Discrete,1.0,tablet,tablet,0.015,g,,nan,1.0,unit,Pro-Banthine_Tab 15mg,0.045,g,1.0,unit,0.3333333333333333
72,0103010D0AAAAAA,Cimetidine 200mg tablets,317222006,Tablet,Discrete,1.0,tablet,tablet,0.2,g,,nan,1.0,unit,Cimetidine_Tab 200mg,0.8,g,1.0,unit,0.25
73,0103010D0AAABAB,Cimetidine 400mg tablets,317223001,Tablet,Discrete,1.0,tablet,tablet,0.4,g,,nan,1.0,unit,Cimetidine_Tab 400mg,0.8,g,1.0,unit,0.5
74,0103010D0AAACAC,Cimetidine 800mg tablets,317224007,Tablet,Discrete,1.0,tablet,tablet,0.8,g,,nan,1.0,unit,Cimetidine_Tab 800mg,0.8,g,1.0,unit,1.0
75,0103010D0AAAGAG,Cimetidine 200mg/5ml oral suspension sugar free,348003002,Oral suspension,Discrete,5.0,ml,spoonful,0.04,g,1.0,ml,1.0,ml,Cimetidine_Oral Susp 200mg/5ml S/F,0.8,g,1.0,ml,0.049999999999999996
76,0103010D0AAALAL,Cimetidine 200mg/5ml oral solution sugar free,407823002,Oral solution,Discrete,5.0,ml,spoonful,0.04,g,1.0,ml,1.0,ml,Cimetidine_Oral Soln 200mg/5ml S/F,0.8,g,1.0,ml,0.049999999999999996
77,0103010D0AAANAN,Cimetidine 200mg/5ml oral suspension sugar free,348003002,Oral suspension,Discrete,5.0,ml,spoonful,0.04,g,1.0,ml,1.0,ml,Cimetidine_Oral Susp 200mg/5ml S/F   @gn,0.8,g,1.0,ml,0.049999999999999996
78,0103010D0BBAAAA,Tagamet 200mg tablets,317222006,Tablet,Discrete,1.0,tablet,tablet,0.2,g,,nan,1.0,unit,Tagamet_Tab 200mg,0.8,g,1.0,unit,0.25
79,0103010D0BBABAB,Tagamet 400mg tablets,317223001,Tablet,Discrete,1.0,tablet,tablet,0.4,g,,nan,1.0,unit,Tagamet_Tab 400mg,0.8,g,1.0,unit,0.5
80,0103010D0BBACAC,Tagamet 800mg tablets,317224007,Tablet,Discrete,1.0,tablet,tablet,0.8,g,,nan,1.0,unit,Tagamet_Tab 800mg,0.8,g,1.0,unit,1.0
81,0103010D0BBADAD,Tagamet 200mg/5ml syrup,317225008,Oral solution,Discrete,5.0,ml,spoonful,0.04,g,1.0,ml,1.0,ml,Tagamet_Syr 200mg/5ml,0.8,g,1.0,ml,0.049999999999999996
82,0103010D0BBAGAI,Tagamet 400mg effervescent tablets,317196009,Effervescent tablet,Discrete,1.0,tablet,tablet,0.4,g,,nan,1.0,unit,Tagamet_Tab Eff 400mg (Orange),0.8,g,1.0,unit,0.5
83,0103010H0AAAAAA,Famotidine 20mg tablets,317275005,Tablet,Discrete,1.0,tablet,tablet,0.02,g,,nan,1.0,unit,Famotidine_Tab 20mg,0.04,g,1.0,unit,0.5
84,0103010H0AAABAB,Famotidine 40mg tablets,317276006,Tablet,Discrete,1.0,tablet,tablet,0.04,g,,nan,1.0,unit,Famotidine_Tab 40mg,0.04,g,1.0,unit,1.0
85,0103010H0BBAAAA,Pepcid 20mg tablets,317275005,Tablet,Discrete,1.0,tablet,tablet,0.02,g,,nan,1.0,unit,Pepcid_Tab 20mg,0.04,g,1.0,unit,0.5
86,0103010H0BBABAB,Pepcid 40mg tablets,317276006,Tablet,Discrete,1.0,tablet,tablet,0.04,g,,nan,1.0,unit,Pepcid_Tab 40mg,0.04,g,1.0,unit,1.0
87,0103010N0AAAAAA,Nizatidine 150mg capsules,317280001,Capsule,Discrete,1.0,capsule,capsule,0.15,g,,nan,1.0,unit,Nizatidine_Cap 150mg,0.3,g,1.0,unit,0.5
88,0103010N0AAABAB,Nizatidine 300mg capsules,317281002,Capsule,Discrete,1.0,capsule,capsule,0.3,g,,nan,1.0,unit,Nizatidine_Cap 300mg,0.3,g,1.0,unit,1.0
89,0103010N0AAADAD,Nizatidine 150mg/5ml oral solution,12937511000001109,Oral solution,Continuous,,,,0.03,g,1.0,ml,1.0,ml,Nizatidine_Liq Spec 150mg/5ml,0.3,g,1.0,ml,0.1
90,0103010N0AAADAD,Nizatidine 150mg/5ml oral suspension,12937611000001108,Oral suspension,Continuous,,,,0.03,g,1.0,ml,1.0,ml,Nizatidine_Liq Spec 150mg/5ml,0.3,g,1.0,ml,0.1
91,0103010N0BBAAAA,Axid 150mg capsules,317280001,Capsule,Discrete,1.0,capsule,capsule,0.15,g,,nan,1.0,unit,Axid_Cap 150mg,0.3,g,1.0,unit,0.5
92,0103010N0BBABAB,Axid 300mg capsules,317281002,Capsule,Discrete,1.0,capsule,capsule,0.3,g,,nan,1.0,unit,Axid_Cap 300mg,0.3,g,1.0,unit,1.0
93,0103010S0BBAAAA,Pylorid 400mg tablets,317315001,Tablet,Discrete,1.0,tablet,tablet,0.4,g,,nan,1.0,unit,Pylorid_Tab 400mg,0.8,g,1.0,unit,0.5
94,0103010T0AAAAAA,Ranitidine 150mg tablets,317249006,Tablet,Discrete,1.0,tablet,tablet,0.15,g,,nan,1.0,unit,Ranitidine HCl_Tab 150mg,0.3,g,1.0,unit,0.5
95,0103010T0AAACAC,Ranitidine 300mg tablets,317251005,Tablet,Discrete,1.0,tablet,tablet,0.3,g,,nan,1.0,unit,Ranitidine HCl_Tab 300mg,0.3,g,1.0,unit,1.0
96,0103010T0AAAEAE,Ranitidine 75mg/5ml oral solution sugar free,317248003,Oral solution,Discrete,5.0,ml,spoonful,0.015,g,1.0,ml,1.0,ml,Ranitidine HCl_Oral Soln 75mg/5ml S/F,0.3,g,1.0,ml,0.05
97,0103010T0AAAIAI,Ranitidine 150mg effervescent tablets,317238000,Effervescent tablet,Discrete,1.0,tablet,tablet,0.15,g,,nan,1.0,unit,Ranitidine HCl_Tab Eff 150mg,0.3,g,1.0,unit,0.5
98,0103010T0AAAJAJ,Ranitidine 300mg effervescent tablets,317239008,Effervescent tablet,Discrete,1.0,tablet,tablet,0.3,g,,nan,1.0,unit,Ranitidine HCl_Tab Eff 300mg,0.3,g,1.0,unit,1.0
99,0103010T0AAANAN,Ranitidine 70mg/5ml oral suspension,13081211000001105,Oral suspension,Continuous,,,,0.014,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 5mg/5ml,0.3,g,1.0,ml,0.04666666666666667
100,0103010T0AAAPAP,Ranitidine 75mg tablets,354011009,Tablet,Discrete,1.0,tablet,tablet,0.075,g,,nan,1.0,unit,Ranitidine HCl_Tab 75mg,0.3,g,1.0,unit,0.25
101,0103010T0AAARAR,Ranitidine 4mg/5ml oral solution,13080511000001101,Oral solution,Continuous,,,,0.0008,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 4mg/5ml,0.3,g,1.0,ml,0.002666666666666667
102,0103010T0AAARAR,Ranitidine 4mg/5ml oral suspension,13080611000001102,Oral suspension,Continuous,,,,0.0008,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 4mg/5ml,0.3,g,1.0,ml,0.002666666666666667
103,0103010T0AAASAS,Ranitidine 50mg/5ml oral solution,13080711000001106,Oral solution,Continuous,,,,0.01,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 50mg/5ml,0.3,g,1.0,ml,0.03333333333333333
104,0103010T0AAASAS,Ranitidine 50mg/5ml oral suspension,13080811000001103,Oral suspension,Continuous,,,,0.01,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 50mg/5ml,0.3,g,1.0,ml,0.03333333333333333
105,0103010T0AAATAT,Ranitidine 25mg/5ml oral solution,13060711000001109,Oral solution,Continuous,,,,0.005,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 25mg/5ml,0.3,g,1.0,ml,0.016666666666666666
106,0103010T0AAATAT,Ranitidine 25mg/5ml oral suspension,13060811000001101,Oral suspension,Continuous,,,,0.005,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 25mg/5ml,0.3,g,1.0,ml,0.016666666666666666
107,0103010T0AAAUAU,Ranitidine 8mg/5ml oral solution,13085311000001100,Oral solution,Continuous,,,,0.0016,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 8mg/5ml,0.3,g,1.0,ml,0.005333333333333334
108,0103010T0AAAUAU,Ranitidine 8mg/5ml oral suspension,13085211000001108,Oral suspension,Continuous,,,,0.0016,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 8mg/5ml,0.3,g,1.0,ml,0.005333333333333334
109,0103010T0AAAWAW,Ranitidine 30mg/5ml oral solution,13079711000001106,Oral solution,Continuous,,,,0.006,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 30mg/5ml,0.3,g,1.0,ml,0.02
110,0103010T0AAAWAW,Ranitidine 30mg/5ml oral suspension,13079811000001103,Oral suspension,Continuous,,,,0.006,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 30mg/5ml,0.3,g,1.0,ml,0.02
111,0103010T0AAAXAX,Ranitidine 70mg/5ml oral solution,13081111000001104,Oral solution,Continuous,,,,0.014,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 70mg/5ml,0.3,g,1.0,ml,0.04666666666666667
112,0103010T0AAAYAY,Ranitidine 10mg/5ml oral solution,13013911000001102,Oral solution,Continuous,,,,0.002,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 10mg/5ml,0.3,g,1.0,ml,0.006666666666666667
113,0103010T0AAAYAY,Ranitidine 10mg/5ml oral suspension,13014011000001104,Oral suspension,Continuous,,,,0.002,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 10mg/5ml,0.3,g,1.0,ml,0.006666666666666667
114,0103010T0AAAZAZ,Ranitidine 1.5mg/5ml oral solution,13013511000001109,Oral solution,Continuous,,,,0.0003,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 1.5mg/5ml,0.3,g,1.0,ml,0.001
115,0103010T0AAAZAZ,Ranitidine 1.5mg/5ml oral suspension,13013611000001108,Oral suspension,Continuous,,,,0.0003,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 1.5mg/5ml,0.3,g,1.0,ml,0.001
116,0103010T0AABABA,Ranitidine 75mg/5ml oral solution,13085011000001103,Oral solution,Continuous,,,,0.015,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 75mg/5ml,0.3,g,1.0,ml,0.05
117,0103010T0AABABA,Ranitidine 75mg/5ml oral suspension,13085111000001102,Oral suspension,Continuous,,,,0.015,g,1.0,ml,1.0,ml,Ranitidine HCl_Liq Spec 75mg/5ml,0.3,g,1.0,ml,0.05
